Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  void std::fill<std::_Bit_iterator, bool>(std::_Bit_iterator, std::_Bit_iterator, bool const&)
  0.00      0.00     0.00        1     0.00     0.00  void std::__fill_a<std::_Bit_iterator, bool>(std::_Bit_iterator, std::_Bit_iterator, bool const&)
  0.00      0.00     0.00        1     0.00     0.00  std::__fill_a1(std::_Bit_iterator, std::_Bit_iterator, bool const&)
  0.00      0.00     0.00        1     0.00     0.00  main::{lambda()#1}::operator()() const

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00      13/78          std::_Deque_base<int, std::allocator<int> >::_M_allocate_node() [61]
                0.00    0.00      13/78          std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*) [65]
                0.00    0.00      26/78          std::_Deque_iterator<int, int&, int*>::_S_buffer_size() [36]
                0.00    0.00      26/78          std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long) [64]
[8]      0.0    0.00    0.00      78         std::__deque_buf_size(unsigned long) [8]
-----------------------------------------------
                0.00    0.00      31/68          std::deque<int, std::allocator<int> >::begin() [26]
                0.00    0.00      37/68          std::deque<int, std::allocator<int> >::end() [23]
[9]      0.0    0.00    0.00      68         std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&) [9]
-----------------------------------------------
                0.00    0.00       7/46          std::deque<int, std::allocator<int> >::empty() const [86]
                0.00    0.00      39/46          std::operator!=(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&) [17]
[10]     0.0    0.00    0.00      46         std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&) [10]
-----------------------------------------------
                0.00    0.00       4/44          std::_Bit_iterator::_Bit_iterator() [100]
                0.00    0.00      40/44          std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int) [12]
[11]     0.0    0.00    0.00      44         std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int) [11]
-----------------------------------------------
                0.00    0.00       1/40          std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long) [175]
